case_id,soc_id,incident_id,alert_id,created_at,assigned_analyst_id,severity,status,resolution,resolution_reason,investigation_notes,closed_at
CASE-000020,SOC-001,,ALT-000020,2026-01-01T22:34:00Z,ANL-1007,MEDIUM,CLOSED,TRUE_POSITIVE,Internal Network Port Scan — True Positive,Validated authentication logs tied to HOST-4043 to rule out credential compromise.,2026-01-02T17:37:00Z
CASE-000021,SOC-001,,ALT-000021,2026-01-01T20:38:00Z,ANL-1001,MEDIUM,CLOSED,TRUE_POSITIVE,New Registry Run Key Entry — True Positive,Reviewed T1547.001 activity on HOST-3628; correlated with source 10.105.35.213.,2026-01-01T23:56:00Z
CASE-000022,SOC-001,,ALT-000022,2026-01-01T18:20:00Z,ANL-1001,HIGH,CLOSED,TRUE_POSITIVE,Password Spraying Detected — True Positive,Manually reviewed HOST-1974 logs; findings documented against case ticket.,2026-01-01T19:27:00Z
CASE-000023,SOC-001,,ALT-000023,2026-01-01T14:04:00Z,ANL-1002,MEDIUM,CLOSED,TRUE_POSITIVE,Internal Network Port Scan — True Positive,Analysed endpoint telemetry for HOST-4726 tied to T1595 detection.,2026-01-01T16:25:00Z
CASE-000024,SOC-001,,ALT-000024,2026-01-01T08:23:00Z,ANL-1003,MEDIUM,CLOSED,TRUE_POSITIVE,Internal Network Port Scan — True Positive,Investigated T1595 indicators on HOST-3724; no further lateral movement observed.,2026-01-01T12:23:00Z
CASE-000025,SOC-001,,ALT-000025,2026-01-01T07:54:00Z,ANL-1002,LOW,CLOSED,TRUE_POSITIVE,Beaconing to Known C2 Domain — True Positive,Analysed endpoint telemetry for HOST-2975 tied to T1071.001 detection.,2026-01-01T15:16:00Z
CASE-000026,SOC-001,,ALT-000026,2026-01-01T06:24:00Z,ANL-1007,LOW,CLOSED,TRUE_POSITIVE,Unusual Scheduled Task Created — True Positive,Traced network flow from 10.166.43.227 to determine scope of T1053.005 activity on HOST-3172.,2026-01-01T15:26:00Z
CASE-000027,SOC-001,,ALT-000027,2026-01-01T21:37:00Z,ANL-1008,LOW,CLOSED,TRUE_POSITIVE,New Registry Run Key Entry — True Positive,Traced network flow from 10.202.28.2 to determine scope of T1547.001 activity on HOST-3777.,2026-01-02T01:40:00Z
CASE-000028,SOC-001,,ALT-000028,2026-01-01T01:27:00Z,ANL-1001,LOW,CLOSED,TRUE_POSITIVE,Unusual SMB Admin Share Access — True Positive,Analysed endpoint telemetry for HOST-4039 tied to T1021.002 detection.,2026-01-01T07:27:00Z
CASE-000029,SOC-001,,ALT-000029,2026-01-01T10:49:00Z,ANL-1003,HIGH,CLOSED,TRUE_POSITIVE,New Registry Run Key Entry — True Positive,Confirmed T1547.001 alert on HOST-1907 against recent change records.,2026-01-01T11:42:00Z
CASE-000030,SOC-001,,ALT-000030,2026-01-01T14:40:00Z,ANL-1005,MEDIUM,CLOSED,FALSE_POSITIVE,Suspicious Binary Download — False Positive,Traced network flow from 10.37.158.119 to determine scope of T1105 activity on HOST-2920.,2026-01-01T17:58:00Z
CASE-000031,SOC-001,,ALT-000031,2026-01-01T10:45:00Z,ANL-1002,LOW,CLOSED,TRUE_POSITIVE,Password Spraying Detected — True Positive,Investigated T1110 indicators on HOST-4682; no further lateral movement observed.,2026-01-01T17:54:00Z
CASE-000032,SOC-001,,ALT-000032,2026-01-01T04:58:00Z,ANL-1006,LOW,CLOSED,TRUE_POSITIVE,Large Outbound Data Transfer — True Positive,Validated authentication logs tied to HOST-3718 to rule out credential compromise.,2026-01-01T06:08:00Z
CASE-000033,SOC-001,,ALT-000033,2026-01-01T03:32:00Z,ANL-1009,LOW,CLOSED,FALSE_POSITIVE,Repeated Failed Logins — False Positive,Validated authentication logs tied to HOST-4228 to rule out credential compromise.,2026-01-01T12:24:00Z
CASE-000034,SOC-001,,ALT-000034,2026-01-01T18:28:00Z,ANL-1008,LOW,CLOSED,FALSE_POSITIVE,Upload to Unapproved Cloud Storage — False Positive,Traced network flow from 10.214.82.210 to determine scope of T1567 activity on HOST-4879.,2026-01-02T02:10:00Z
CASE-000035,SOC-001,,ALT-000035,2026-01-01T14:56:00Z,ANL-1006,CRITICAL,CLOSED,FALSE_POSITIVE,LSASS Memory Access — False Positive,"Closed with minimal review — T1003 alert on HOST-1909, no further action taken.",2026-01-01T15:26:00Z
CASE-000036,SOC-001,,ALT-000036,2026-01-01T04:35:00Z,ANL-1010,LOW,CLOSED,FALSE_POSITIVE,Ransomware Behaviour Detected — False Positive,"Closed with minimal review — T1486 alert on HOST-1089, no further action taken.",2026-01-01T06:01:00Z
CASE-000037,SOC-001,,ALT-000037,2026-01-01T07:36:00Z,ANL-1007,LOW,CLOSED,TRUE_POSITIVE,LSASS Memory Access — True Positive,Cross-referenced 10.34.10.100 against threat intelligence feeds for HOST-2445.,2026-01-01T11:52:00Z
CASE-000038,SOC-001,,ALT-000038,2026-01-01T21:29:00Z,ANL-1008,HIGH,CLOSED,TRUE_POSITIVE,Suspicious CMD Execution — True Positive,Reviewed escalation criteria for HOST-1717; behaviour consistent with known baseline.,2026-01-01T23:00:00Z
CASE-000039,SOC-001,,ALT-000039,2026-01-01T23:28:00Z,ANL-1007,MEDIUM,CLOSED,TRUE_POSITIVE,Large Outbound Data Transfer — True Positive,Investigated T1041 indicators on HOST-2638; no further lateral movement observed.,2026-01-02T01:44:00Z
CASE-000040,SOC-001,,ALT-000040,2026-01-01T11:28:00Z,ANL-1001,LOW,CLOSED,FALSE_POSITIVE,Upload to Unapproved Cloud Storage — False Positive,Confirmed T1567 alert on HOST-2818 against recent change records.,2026-01-01T19:20:00Z
CASE-000041,SOC-001,INC-000003,ALT-000041,2026-01-02T14:48:00Z,ANL-1002,CRITICAL,CLOSED,TRUE_POSITIVE,Encoded PowerShell Command — True Positive,Checked process execution history for HOST-2523 following T1059.001 alert.,2026-01-02T15:44:00Z
CASE-000042,SOC-001,,ALT-000042,2026-01-02T10:42:00Z,ANL-1006,HIGH,CLOSED,FALSE_POSITIVE,LSASS Memory Access — False Positive,Traced network flow from 10.80.89.204 to determine scope of T1003 activity on HOST-4963.,2026-01-03T18:48:00Z
CASE-000043,SOC-001,,ALT-000043,2026-01-02T20:04:00Z,ANL-1008,LOW,CLOSED,TRUE_POSITIVE,Internal Network Port Scan — True Positive,Traced network flow from 10.93.66.111 to determine scope of T1595 activity on HOST-2298.,2026-01-03T04:49:00Z
CASE-000044,SOC-001,,ALT-000044,2026-01-02T16:41:00Z,ANL-1003,MEDIUM,CLOSED,TRUE_POSITIVE,Large Outbound Data Transfer — True Positive,Analysed endpoint telemetry for HOST-1382 tied to T1041 detection.,2026-01-02T20:14:00Z
CASE-000045,SOC-001,,ALT-000045,2026-01-02T14:26:00Z,ANL-1008,MEDIUM,CLOSED,TRUE_POSITIVE,Upload to Unapproved Cloud Storage — True Positive,Reviewed T1567 activity on HOST-1647; correlated with source 10.160.163.188.,2026-01-02T16:59:00Z
CASE-000046,SOC-001,,ALT-000046,2026-01-02T05:52:00Z,ANL-1006,LOW,CLOSED,FALSE_POSITIVE,Upload to Unapproved Cloud Storage — False Positive,Reviewed T1567 activity on HOST-4544; correlated with source 10.81.255.132.,2026-01-02T12:08:00Z
CASE-000047,SOC-001,,ALT-000047,2026-01-02T03:27:00Z,ANL-1003,LOW,CLOSED,FALSE_POSITIVE,Upload to Unapproved Cloud Storage — False Positive,"Closed with minimal review — T1567 alert on HOST-1033, no further action taken.",2026-01-02T10:13:00Z
CASE-000048,SOC-001,,ALT-000048,2026-01-02T11:50:00Z,ANL-1006,CRITICAL,CLOSED,TRUE_POSITIVE,Large Outbound Data Transfer — True Positive,Reviewed escalation criteria for HOST-2613; behaviour consistent with known baseline.,2026-01-02T12:39:00Z
CASE-000049,SOC-001,,ALT-000049,2026-01-02T10:43:00Z,ANL-1002,HIGH,CLOSED,FALSE_POSITIVE,Ransomware Behaviour Detected — False Positive,Analysed endpoint telemetry for HOST-2508 tied to T1486 detection.,2026-01-02T12:17:00Z
CASE-000050,SOC-001,,ALT-000050,2026-01-02T23:03:00Z,ANL-1003,HIGH,CLOSED,TRUE_POSITIVE,Unusual SMB Admin Share Access — True Positive,Manually reviewed HOST-4013 logs; findings documented against case ticket.,2026-01-03T00:30:00Z
CASE-000051,SOC-001,,ALT-000051,2026-01-02T23:17:00Z,ANL-1005,MEDIUM,CLOSED,TRUE_POSITIVE,Suspicious Binary Download — True Positive,Cross-referenced 10.176.74.75 against threat intelligence feeds for HOST-4827.,2026-01-03T02:36:00Z
CASE-000052,SOC-001,,ALT-000052,2026-01-02T16:14:00Z,ANL-1011,LOW,CLOSED,TRUE_POSITIVE,Unusual Scheduled Task Created — True Positive,Confirmed T1053.005 alert on HOST-4707 against recent change records.,2026-01-02T22:44:00Z
CASE-000053,SOC-001,,ALT-000053,2026-01-02T05:59:00Z,ANL-1001,MEDIUM,CLOSED,FALSE_POSITIVE,Unusual RDP Session — False Positive,Manually reviewed HOST-4430 logs; findings documented against case ticket.,2026-01-02T16:02:00Z
CASE-000054,SOC-001,,ALT-000054,2026-01-02T09:36:00Z,ANL-1011,HIGH,CLOSED,FALSE_POSITIVE,Large Outbound Data Transfer — False Positive,Investigated T1041 indicators on HOST-4238; no further lateral movement observed.,2026-01-02T10:28:00Z
CASE-000055,SOC-001,,ALT-000055,2026-01-02T21:07:00Z,ANL-1008,MEDIUM,CLOSED,TRUE_POSITIVE,Suspicious CMD Execution — True Positive,Validated authentication logs tied to HOST-1254 to rule out credential compromise.,2026-01-02T23:18:00Z
CASE-000056,SOC-001,,ALT-000056,2026-01-02T02:58:00Z,ANL-1010,MEDIUM,CLOSED,TRUE_POSITIVE,Unusual RDP Session — True Positive,"Closed with minimal review — T1021.001 alert on HOST-2481, no further action taken.",2026-01-02T06:38:00Z
CASE-000057,SOC-001,,ALT-000057,2026-01-02T18:03:00Z,ANL-1009,MEDIUM,CLOSED,TRUE_POSITIVE,Suspicious CMD Execution — True Positive,Analysed endpoint telemetry for HOST-2871 tied to T1059.003 detection.,2026-01-04T19:48:00Z
CASE-000058,SOC-001,,ALT-000058,2026-01-02T12:24:00Z,ANL-1002,HIGH,CLOSED,TRUE_POSITIVE,Suspicious Binary Download — True Positive,Cross-referenced 10.178.60.46 against threat intelligence feeds for HOST-4714.,2026-01-02T13:39:00Z
CASE-000059,SOC-001,,ALT-000059,2026-01-02T13:39:00Z,ANL-1001,LOW,CLOSED,TRUE_POSITIVE,Large Outbound Data Transfer — True Positive,Reviewed escalation criteria for HOST-3704; behaviour consistent with known baseline.,2026-01-02T22:28:00Z
CASE-000060,SOC-001,,ALT-000060,2026-01-02T16:14:00Z,ANL-1007,HIGH,CLOSED,TRUE_POSITIVE,Beaconing to Known C2 Domain — True Positive,Investigated T1071.001 indicators on HOST-3704; no further lateral movement observed.,2026-01-02T17:17:00Z
CASE-000061,SOC-001,,ALT-000061,2026-01-02T13:35:00Z,ANL-1009,MEDIUM,CLOSED,TRUE_POSITIVE,LSASS Memory Access — True Positive,Traced network flow from 10.169.40.237 to determine scope of T1003 activity on HOST-4964.,2026-01-02T17:04:00Z
CASE-000062,SOC-001,,ALT-000062,2026-01-02T09:58:00Z,ANL-1001,HIGH,CLOSED,TRUE_POSITIVE,Unusual SMB Admin Share Access — True Positive,Checked process execution history for HOST-2363 following T1021.002 alert.,2026-01-02T11:13:00Z
CASE-000063,SOC-001,,ALT-000063,2026-01-02T01:36:00Z,ANL-1004,LOW,CLOSED,FALSE_POSITIVE,Ransomware Behaviour Detected — False Positive,Cross-referenced 10.213.151.40 against threat intelligence feeds for HOST-2695.,2026-01-02T05:39:00Z
CASE-000064,SOC-001,INC-000004,ALT-000064,2026-01-02T20:03:00Z,ANL-1009,CRITICAL,CLOSED,TRUE_POSITIVE,LSASS Memory Access — True Positive,Traced network flow from 10.3.211.36 to determine scope of T1003 activity on HOST-3220.,2026-01-02T20:50:00Z
CASE-000065,SOC-001,,ALT-000065,2026-01-02T21:27:00Z,ANL-1003,MEDIUM,CLOSED,TRUE_POSITIVE,Upload to Unapproved Cloud Storage — True Positive,Reviewed T1567 activity on HOST-3858; correlated with source 10.123.98.159.,2026-01-02T23:16:00Z
CASE-000066,SOC-001,,ALT-000066,2026-01-02T01:40:00Z,ANL-1001,LOW,CLOSED,FALSE_POSITIVE,New Registry Run Key Entry — False Positive,Reviewed T1547.001 activity on HOST-2949; correlated with source 10.222.169.145.,2026-01-02T06:05:00Z
CASE-000067,SOC-001,INC-000005,ALT-000067,2026-01-02T05:36:00Z,ANL-1004,CRITICAL,CLOSED,TRUE_POSITIVE,Unusual RDP Session — True Positive,Manually reviewed HOST-2225 logs; findings documented against case ticket.,2026-01-02T06:25:00Z
CASE-000068,SOC-001,,ALT-000068,2026-01-02T12:05:00Z,ANL-1010,MEDIUM,CLOSED,TRUE_POSITIVE,Internal Network Port Scan — True Positive,Analysed endpoint telemetry for HOST-3706 tied to T1595 detection.,2026-01-02T15:01:00Z
CASE-000069,SOC-001,,ALT-000069,2026-01-02T17:05:00Z,ANL-1010,LOW,CLOSED,TRUE_POSITIVE,Ransomware Behaviour Detected — True Positive,Analysed endpoint telemetry for HOST-2449 tied to T1486 detection.,2026-01-02T22:43:00Z
CASE-000070,SOC-001,,ALT-000070,2026-01-02T11:16:00Z,ANL-1004,MEDIUM,CLOSED,FALSE_POSITIVE,Upload to Unapproved Cloud Storage — False Positive,Validated authentication logs tied to HOST-1315 to rule out credential compromise.,2026-01-02T15:21:00Z
CASE-000071,SOC-001,INC-000006,ALT-000071,2026-01-02T10:18:00Z,ANL-1011,CRITICAL,CLOSED,TRUE_POSITIVE,Ransomware Behaviour Detected — True Positive,Validated authentication logs tied to HOST-4967 to rule out credential compromise.,2026-01-02T11:14:00Z
CASE-000072,SOC-001,,ALT-000072,2026-01-02T18:25:00Z,ANL-1009,CRITICAL,CLOSED,TRUE_POSITIVE,Internal Network Port Scan — True Positive,Confirmed T1595 alert on HOST-2962 against recent change records.,2026-01-02T18:53:00Z
CASE-000073,SOC-001,,ALT-000073,2026-01-02T21:37:00Z,ANL-1009,LOW,CLOSED,TRUE_POSITIVE,Unusual SMB Admin Share Access — True Positive,Reviewed escalation criteria for HOST-4163; behaviour consistent with known baseline.,2026-01-03T04:50:00Z
CASE-000074,SOC-001,,ALT-000074,2026-01-02T00:54:00Z,ANL-1006,HIGH,CLOSED,TRUE_POSITIVE,New Registry Run Key Entry — True Positive,Investigated T1547.001 indicators on HOST-1471; no further lateral movement observed.,2026-01-02T02:34:00Z
CASE-000075,SOC-001,,ALT-000075,2026-01-02T14:07:00Z,ANL-1005,LOW,CLOSED,TRUE_POSITIVE,Unusual Scheduled Task Created — True Positive,Reviewed escalation criteria for HOST-1807; behaviour consistent with known baseline.,2026-01-02T18:54:00Z
CASE-000076,SOC-001,,ALT-000076,2026-01-02T12:27:00Z,ANL-1003,MEDIUM,CLOSED,TRUE_POSITIVE,LSASS Memory Access — True Positive,Manually reviewed HOST-3354 logs; findings documented against case ticket.,2026-01-02T15:57:00Z
CASE-000077,SOC-001,,ALT-000077,2026-01-02T15:10:00Z,ANL-1002,HIGH,CLOSED,TRUE_POSITIVE,Internal Network Port Scan — True Positive,Traced network flow from 10.140.115.138 to determine scope of T1595 activity on HOST-2818.,2026-01-02T16:07:00Z
CASE-000078,SOC-001,,ALT-000078,2026-01-02T07:19:00Z,ANL-1001,HIGH,CLOSED,TRUE_POSITIVE,Unusual SMB Admin Share Access — True Positive,Investigated T1021.002 indicators on HOST-3677; no further lateral movement observed.,2026-01-02T08:37:00Z
CASE-000079,SOC-001,,ALT-000079,2026-01-02T13:58:00Z,ANL-1001,LOW,CLOSED,FALSE_POSITIVE,Upload to Unapproved Cloud Storage — False Positive,Investigated T1567 indicators on HOST-4072; no further lateral movement observed.,2026-01-02T19:48:00Z
CASE-000080,SOC-001,,ALT-000080,2026-01-02T23:05:00Z,ANL-1008,LOW,CLOSED,TRUE_POSITIVE,Suspicious Binary Download — True Positive,Manually reviewed HOST-1010 logs; findings documented against case ticket.,2026-01-03T03:54:00Z
CASE-000081,SOC-001,,ALT-000081,2026-01-03T13:12:00Z,ANL-1003,MEDIUM,CLOSED,FALSE_POSITIVE,Suspicious PowerShell — False Positive,Checked process execution history for HOST-1002 following T1059.001 alert.,2026-01-03T17:39:00Z
CASE-000082,SOC-001,,ALT-000082,2026-01-03T10:52:00Z,ANL-1002,LOW,CLOSED,FALSE_POSITIVE,Password Spraying Detected — False Positive,Reviewed T1110 activity on HOST-3849; correlated with source 10.244.36.59.,2026-01-03T19:23:00Z
CASE-000083,SOC-001,,ALT-000083,2026-01-03T23:09:00Z,ANL-1007,HIGH,CLOSED,TRUE_POSITIVE,LSASS Memory Access — True Positive,Validated authentication logs tied to HOST-3572 to rule out credential compromise.,2026-01-04T00:39:00Z
CASE-000084,SOC-001,,ALT-000084,2026-01-03T07:31:00Z,ANL-1007,MEDIUM,CLOSED,TRUE_POSITIVE,Unusual SMB Admin Share Access — True Positive,Reviewed T1021.002 activity on HOST-4210; correlated with source 10.36.6.253.,2026-01-03T11:01:00Z
CASE-000085,SOC-001,,ALT-000085,2026-01-03T13:27:00Z,ANL-1007,MEDIUM,CLOSED,TRUE_POSITIVE,Suspicious CMD Execution — True Positive,Confirmed T1059.003 alert on HOST-3052 against recent change records.,2026-01-03T16:55:00Z
CASE-000086,SOC-001,,ALT-000086,2026-01-03T04:44:00Z,ANL-1001,LOW,CLOSED,TRUE_POSITIVE,Suspicious CMD Execution — True Positive,Reviewed escalation criteria for HOST-3899; behaviour consistent with known baseline.,2026-01-03T11:22:00Z
CASE-000087,SOC-001,,ALT-000087,2026-01-03T03:57:00Z,ANL-1010,LOW,CLOSED,TRUE_POSITIVE,Suspicious CMD Execution — True Positive,Investigated T1059.003 indicators on HOST-2044; no further lateral movement observed.,2026-01-03T09:53:00Z
CASE-000088,SOC-001,,ALT-000088,2026-01-03T01:11:00Z,ANL-1004,MEDIUM,CLOSED,FALSE_POSITIVE,New Registry Run Key Entry — False Positive,"Closed with minimal review — T1547.001 alert on HOST-4694, no further action taken.",2026-01-03T05:14:00Z
CASE-000089,SOC-001,,ALT-000089,2026-01-03T15:49:00Z,ANL-1004,MEDIUM,CLOSED,FALSE_POSITIVE,Upload to Unapproved Cloud Storage — False Positive,Checked process execution history for HOST-3423 following T1567 alert.,2026-01-03T20:13:00Z
CASE-000090,SOC-001,,ALT-000090,2026-01-03T14:47:00Z,ANL-1002,HIGH,CLOSED,TRUE_POSITIVE,Encoded PowerShell Command — True Positive,Cross-referenced 10.201.38.152 against threat intelligence feeds for HOST-2525.,2026-01-03T15:42:00Z
CASE-000091,SOC-001,,ALT-000091,2026-01-03T10:26:00Z,ANL-1002,LOW,CLOSED,TRUE_POSITIVE,Unusual Scheduled Task Created — True Positive,Investigated T1053.005 indicators on HOST-2908; no further lateral movement observed.,2026-01-03T14:24:00Z
CASE-000092,SOC-001,INC-000007,ALT-000092,2026-01-03T14:35:00Z,ANL-1009,CRITICAL,CLOSED,TRUE_POSITIVE,Large Outbound Data Transfer — True Positive,Reviewed escalation criteria for HOST-4500; behaviour consistent with known baseline.,2026-01-03T15:05:00Z
CASE-000093,SOC-001,,ALT-000093,2026-01-03T21:27:00Z,ANL-1003,MEDIUM,CLOSED,TRUE_POSITIVE,LSASS Memory Access — True Positive,Validated authentication logs tied to HOST-2567 to rule out credential compromise.,2026-01-03T23:21:00Z
CASE-000094,SOC-001,,ALT-000094,2026-01-03T15:22:00Z,ANL-1010,MEDIUM,CLOSED,TRUE_POSITIVE,Suspicious CMD Execution — True Positive,Investigated T1059.003 indicators on HOST-4200; no further lateral movement observed.,2026-01-03T19:33:00Z
CASE-000095,SOC-001,,ALT-000095,2026-01-03T05:11:00Z,ANL-1004,LOW,CLOSED,TRUE_POSITIVE,Encoded PowerShell Command — True Positive,Reviewed T1059.001 activity on HOST-4437; correlated with source 10.180.72.145.,2026-01-03T09:40:00Z
CASE-000096,SOC-001,,ALT-000096,2026-01-03T10:03:00Z,ANL-1001,LOW,CLOSED,TRUE_POSITIVE,Beaconing to Known C2 Domain — True Positive,Cross-referenced 10.186.37.96 against threat intelligence feeds for HOST-1726.,2026-01-04T10:06:00Z
CASE-000097,SOC-001,,ALT-000097,2026-01-03T00:44:00Z,ANL-1010,LOW,CLOSED,TRUE_POSITIVE,Internal Network Port Scan — True Positive,Validated authentication logs tied to HOST-3985 to rule out credential compromise.,2026-01-03T07:02:00Z
CASE-000098,SOC-001,,ALT-000098,2026-01-03T00:03:00Z,ANL-1007,HIGH,CLOSED,TRUE_POSITIVE,New Registry Run Key Entry — True Positive,Reviewed escalation criteria for HOST-3950; behaviour consistent with known baseline.,2026-01-03T01:23:00Z
CASE-000099,SOC-001,,ALT-000099,2026-01-03T02:21:00Z,ANL-1010,HIGH,CLOSED,FALSE_POSITIVE,LSASS Memory Access — False Positive,Manually reviewed HOST-3240 logs; findings documented against case ticket.,2026-01-03T03:47:00Z
CASE-000100,SOC-001,,ALT-000100,2026-01-03T09:52:00Z,ANL-1011,LOW,CLOSED,TRUE_POSITIVE,Password Spraying Detected — True Positive,Reviewed escalation criteria for HOST-1358; behaviour consistent with known baseline.,2026-01-03T15:39:00Z
CASE-000101,SOC-001,,ALT-000101,2026-01-03T08:14:00Z,ANL-1005,LOW,CLOSED,TRUE_POSITIVE,LSASS Memory Access — True Positive,Analysed endpoint telemetry for HOST-2904 tied to T1003 detection.,2026-01-03T14:57:00Z
CASE-000102,SOC-001,,ALT-000102,2026-01-03T05:10:00Z,ANL-1004,CRITICAL,CLOSED,FALSE_POSITIVE,Suspicious PowerShell — False Positive,Analysed endpoint telemetry for HOST-2839 tied to T1059.001 detection.,2026-01-03T05:49:00Z
CASE-000103,SOC-001,,ALT-000103,2026-01-03T18:48:00Z,ANL-1002,LOW,CLOSED,FALSE_POSITIVE,New Registry Run Key Entry — False Positive,Validated authentication logs tied to HOST-3408 to rule out credential compromise.,2026-01-04T02:19:00Z
CASE-000104,SOC-001,,ALT-000104,2026-01-03T10:52:00Z,ANL-1005,HIGH,CLOSED,TRUE_POSITIVE,Suspicious CMD Execution — True Positive,Reviewed T1059.003 activity on HOST-1082; correlated with source 10.50.116.35.,2026-01-03T11:48:00Z
CASE-000105,SOC-001,,ALT-000105,2026-01-03T04:49:00Z,ANL-1009,HIGH,CLOSED,FALSE_POSITIVE,Password Spraying Detected — False Positive,Manually reviewed HOST-2652 logs; findings documented against case ticket.,2026-01-03T06:14:00Z
CASE-000106,SOC-001,,ALT-000106,2026-01-03T23:53:00Z,ANL-1002,LOW,CLOSED,TRUE_POSITIVE,LSASS Memory Access — True Positive,"Closed with minimal review — T1003 alert on HOST-1002, no further action taken.",2026-01-04T00:50:00Z
