alert_id,soc_id,timestamp_created,source,source_system,alert_type,category,severity,risk_score,asset_id,user_id,source_ip,destination_ip,mitre_tactic,mitre_technique,true_positive,assigned_analyst_id,status,priority,scenario_type
ALT-000047,SOC-001,2026-01-02T03:27:00Z,SIEM,IBM QRadar,Upload to Unapproved Cloud Storage,Exfiltration,LOW,61,HOST-1033,USR-474,10.23.205.14,10.99.185.142,Exfiltration,T1567,False,ANL-1003,CLOSED,P4,NIGHT_SHIFT_DEGRADATION
ALT-000048,SOC-001,2026-01-02T11:50:00Z,SIEM,IBM QRadar,Large Outbound Data Transfer,Exfiltration,CRITICAL,28,HOST-2613,USR-303,10.205.20.12,10.19.70.183,Exfiltration,T1041,True,ANL-1006,CLOSED,P1,CORRECT_HANDLING
ALT-000049,SOC-001,2026-01-02T10:43:00Z,SIEM,IBM QRadar,Ransomware Behaviour Detected,Impact,HIGH,98,HOST-2508,USR-744,10.13.242.68,10.116.26.150,Impact,T1486,False,ANL-1002,CLOSED,P2,CORRECT_HANDLING
ALT-000050,SOC-001,2026-01-02T23:03:00Z,SIEM,IBM QRadar,Unusual SMB Admin Share Access,Lateral Movement,HIGH,94,HOST-4013,USR-589,10.192.160.245,10.88.235.234,Lateral Movement,T1021.002,True,ANL-1003,CLOSED,P2,CORRECT_HANDLING
ALT-000051,SOC-001,2026-01-02T23:17:00Z,SIEM,Elastic Security,Suspicious Binary Download,Command and Control,MEDIUM,60,HOST-4827,USR-938,10.176.74.75,10.21.147.245,Command and Control,T1105,True,ANL-1005,CLOSED,P3,MISSED_ESCALATION
ALT-000052,SOC-001,2026-01-02T16:14:00Z,SIEM,Microsoft Sentinel,Unusual Scheduled Task Created,Persistence,LOW,62,HOST-4707,USR-438,10.241.51.175,10.70.2.247,Persistence,T1053.005,True,ANL-1011,CLOSED,P4,CORRECT_HANDLING
ALT-000053,SOC-001,2026-01-02T05:59:00Z,SIEM,Elastic Security,Unusual RDP Session,Lateral Movement,MEDIUM,73,HOST-4430,USR-290,10.148.19.3,10.152.54.238,Lateral Movement,T1021.001,False,ANL-1001,CLOSED,P3,SLOW_TRIAGE
ALT-000054,SOC-001,2026-01-02T09:36:00Z,SIEM,Splunk ES,Large Outbound Data Transfer,Exfiltration,HIGH,88,HOST-4238,USR-976,10.207.218.132,10.167.44.103,Exfiltration,T1041,False,ANL-1011,CLOSED,P2,CORRECT_HANDLING
ALT-000055,SOC-001,2026-01-02T21:07:00Z,SIEM,Elastic Security,Suspicious CMD Execution,Execution,MEDIUM,97,HOST-1254,USR-614,10.159.60.164,10.151.188.158,Execution,T1059.003,True,ANL-1008,CLOSED,P3,CORRECT_HANDLING
ALT-000056,SOC-001,2026-01-02T02:58:00Z,SIEM,Splunk ES,Unusual RDP Session,Lateral Movement,MEDIUM,83,HOST-2481,USR-649,10.76.84.84,10.226.59.175,Lateral Movement,T1021.001,True,ANL-1010,CLOSED,P3,NIGHT_SHIFT_DEGRADATION
ALT-000057,SOC-001,2026-01-02T18:03:00Z,SIEM,IBM QRadar,Suspicious CMD Execution,Execution,MEDIUM,12,HOST-2871,USR-505,10.130.1.191,10.111.37.12,Execution,T1059.003,True,ANL-1009,CLOSED,P3,REOPENED_CASE
ALT-000058,SOC-001,2026-01-02T12:24:00Z,SIEM,Splunk ES,Suspicious Binary Download,Command and Control,HIGH,93,HOST-4714,USR-980,10.178.60.46,10.201.65.187,Command and Control,T1105,True,ANL-1002,CLOSED,P2,CORRECT_HANDLING
ALT-000059,SOC-001,2026-01-02T13:39:00Z,SIEM,Microsoft Sentinel,Large Outbound Data Transfer,Exfiltration,LOW,22,HOST-3704,USR-708,10.17.228.154,10.24.125.190,Exfiltration,T1041,True,ANL-1001,CLOSED,P4,NIGHT_SHIFT_DEGRADATION
ALT-000060,SOC-001,2026-01-02T16:14:00Z,SIEM,Microsoft Sentinel,Beaconing to Known C2 Domain,Command and Control,HIGH,81,HOST-3704,USR-705,10.89.218.143,10.253.24.249,Command and Control,T1071.001,True,ANL-1007,CLOSED,P2,NORMAL
ALT-000061,SOC-001,2026-01-02T13:35:00Z,SIEM,Splunk ES,LSASS Memory Access,Credential Access,MEDIUM,42,HOST-4964,USR-308,10.169.40.237,10.230.189.24,Credential Access,T1003,True,ANL-1009,CLOSED,P3,NORMAL
ALT-000062,SOC-001,2026-01-02T09:58:00Z,SIEM,Splunk ES,Unusual SMB Admin Share Access,Lateral Movement,HIGH,25,HOST-2363,USR-864,10.245.124.179,10.104.203.235,Lateral Movement,T1021.002,True,ANL-1001,CLOSED,P2,CORRECT_HANDLING
ALT-000063,SOC-001,2026-01-02T01:36:00Z,SIEM,Microsoft Sentinel,Ransomware Behaviour Detected,Impact,LOW,43,HOST-2695,USR-666,10.213.151.40,10.100.168.59,Impact,T1486,False,ANL-1004,CLOSED,P4,CORRECT_HANDLING
ALT-000064,SOC-001,2026-01-02T20:03:00Z,SIEM,Microsoft Sentinel,LSASS Memory Access,Credential Access,CRITICAL,95,HOST-3220,USR-149,10.3.211.36,10.118.34.182,Credential Access,T1003,True,ANL-1009,CLOSED,P1,CORRECT_HANDLING
ALT-000065,SOC-001,2026-01-02T21:27:00Z,SIEM,Microsoft Sentinel,Upload to Unapproved Cloud Storage,Exfiltration,MEDIUM,77,HOST-3858,USR-252,10.123.98.159,10.129.181.69,Exfiltration,T1567,True,ANL-1003,CLOSED,P3,CORRECT_HANDLING
ALT-000066,SOC-001,2026-01-02T01:40:00Z,SIEM,Microsoft Sentinel,New Registry Run Key Entry,Persistence,LOW,73,HOST-2949,USR-965,10.222.169.145,10.48.21.59,Persistence,T1547.001,False,ANL-1001,CLOSED,P4,CORRECT_HANDLING
ALT-000067,SOC-001,2026-01-02T05:36:00Z,SIEM,Elastic Security,Unusual RDP Session,Lateral Movement,CRITICAL,96,HOST-2225,USR-653,10.169.196.194,10.71.40.129,Lateral Movement,T1021.001,True,ANL-1004,CLOSED,P1,CORRECT_HANDLING
ALT-000068,SOC-001,2026-01-02T12:05:00Z,SIEM,Splunk ES,Internal Network Port Scan,Reconnaissance,MEDIUM,19,HOST-3706,USR-184,10.137.78.98,10.78.199.82,Reconnaissance,T1595,True,ANL-1010,CLOSED,P3,CORRECT_HANDLING
ALT-000069,SOC-001,2026-01-02T17:05:00Z,SIEM,IBM QRadar,Ransomware Behaviour Detected,Impact,LOW,59,HOST-2449,USR-112,10.149.211.100,10.43.124.147,Impact,T1486,True,ANL-1010,CLOSED,P4,CORRECT_HANDLING
ALT-000070,SOC-001,2026-01-02T11:16:00Z,SIEM,Elastic Security,Upload to Unapproved Cloud Storage,Exfiltration,MEDIUM,86,HOST-1315,USR-731,10.100.234.28,10.69.155.2,Exfiltration,T1567,False,ANL-1004,CLOSED,P3,CORRECT_HANDLING
ALT-000071,SOC-001,2026-01-02T10:18:00Z,SIEM,Splunk ES,Ransomware Behaviour Detected,Impact,CRITICAL,51,HOST-4967,USR-485,10.143.201.94,10.58.102.152,Impact,T1486,True,ANL-1011,CLOSED,P1,CORRECT_HANDLING
ALT-000072,SOC-001,2026-01-02T18:25:00Z,SIEM,Elastic Security,Internal Network Port Scan,Reconnaissance,CRITICAL,79,HOST-2962,USR-137,10.184.43.28,10.127.181.43,Reconnaissance,T1595,True,ANL-1009,CLOSED,P1,CORRECT_HANDLING
ALT-000073,SOC-001,2026-01-02T21:37:00Z,SIEM,Microsoft Sentinel,Unusual SMB Admin Share Access,Lateral Movement,LOW,71,HOST-4163,USR-207,10.151.212.236,10.43.59.213,Lateral Movement,T1021.002,True,ANL-1009,CLOSED,P4,NORMAL
ALT-000074,SOC-001,2026-01-02T00:54:00Z,SIEM,Splunk ES,New Registry Run Key Entry,Persistence,HIGH,41,HOST-1471,USR-628,10.89.81.85,10.218.236.60,Persistence,T1547.001,True,ANL-1006,CLOSED,P2,CORRECT_HANDLING
ALT-000075,SOC-001,2026-01-02T14:07:00Z,SIEM,Elastic Security,Unusual Scheduled Task Created,Persistence,LOW,77,HOST-1807,USR-754,10.160.198.157,10.200.58.90,Persistence,T1053.005,True,ANL-1005,CLOSED,P4,CORRECT_HANDLING
ALT-000076,SOC-001,2026-01-02T12:27:00Z,SIEM,Splunk ES,LSASS Memory Access,Credential Access,MEDIUM,81,HOST-3354,USR-270,10.250.147.36,10.95.161.216,Credential Access,T1003,True,ANL-1003,CLOSED,P3,CORRECT_HANDLING
ALT-000077,SOC-001,2026-01-02T15:10:00Z,SIEM,Splunk ES,Internal Network Port Scan,Reconnaissance,HIGH,47,HOST-2818,USR-133,10.140.115.138,10.147.86.200,Reconnaissance,T1595,True,ANL-1002,CLOSED,P2,NORMAL
ALT-000078,SOC-001,2026-01-02T07:19:00Z,SIEM,IBM QRadar,Unusual SMB Admin Share Access,Lateral Movement,HIGH,21,HOST-3677,USR-549,10.60.121.54,10.179.219.43,Lateral Movement,T1021.002,True,ANL-1001,CLOSED,P2,CORRECT_HANDLING
ALT-000079,SOC-001,2026-01-02T13:58:00Z,SIEM,Splunk ES,Upload to Unapproved Cloud Storage,Exfiltration,LOW,99,HOST-4072,USR-986,10.67.127.38,10.164.126.195,Exfiltration,T1567,False,ANL-1001,CLOSED,P4,CORRECT_HANDLING
ALT-000080,SOC-001,2026-01-02T23:05:00Z,SIEM,IBM QRadar,Suspicious Binary Download,Command and Control,LOW,18,HOST-1010,USR-914,10.203.111.248,10.219.108.127,Command and Control,T1105,True,ANL-1008,CLOSED,P4,CORRECT_HANDLING
ALT-000081,SOC-001,2026-01-03T13:12:00Z,SIEM,IBM QRadar,Suspicious PowerShell,Execution,MEDIUM,30,HOST-1002,USR-995,10.140.47.168,10.184.128.22,Execution,T1059.001,False,ANL-1003,CLOSED,P3,CORRECT_HANDLING
ALT-000082,SOC-001,2026-01-03T10:52:00Z,SIEM,Elastic Security,Password Spraying Detected,Credential Access,LOW,98,HOST-3849,USR-235,10.244.36.59,10.196.45.188,Credential Access,T1110,False,ANL-1002,CLOSED,P4,CORRECT_HANDLING
ALT-000083,SOC-001,2026-01-03T23:09:00Z,SIEM,Elastic Security,LSASS Memory Access,Credential Access,HIGH,37,HOST-3572,USR-188,10.51.71.193,10.63.196.90,Credential Access,T1003,True,ANL-1007,CLOSED,P2,NORMAL
ALT-000084,SOC-001,2026-01-03T07:31:00Z,SIEM,Elastic Security,Unusual SMB Admin Share Access,Lateral Movement,MEDIUM,91,HOST-4210,USR-708,10.36.6.253,10.184.162.34,Lateral Movement,T1021.002,True,ANL-1007,CLOSED,P3,NORMAL
ALT-000085,SOC-001,2026-01-03T13:27:00Z,SIEM,Splunk ES,Suspicious CMD Execution,Execution,MEDIUM,45,HOST-3052,USR-185,10.158.40.131,10.104.79.138,Execution,T1059.003,True,ANL-1007,CLOSED,P3,CORRECT_HANDLING
ALT-000086,SOC-001,2026-01-03T04:44:00Z,SIEM,IBM QRadar,Suspicious CMD Execution,Execution,LOW,76,HOST-3899,USR-629,10.132.85.96,10.64.137.188,Execution,T1059.003,True,ANL-1001,CLOSED,P4,MISSED_ESCALATION
ALT-000087,SOC-001,2026-01-03T03:57:00Z,SIEM,Microsoft Sentinel,Suspicious CMD Execution,Execution,LOW,39,HOST-2044,USR-858,10.1.22.220,10.6.125.12,Execution,T1059.003,True,ANL-1010,CLOSED,P4,CORRECT_HANDLING
ALT-000088,SOC-001,2026-01-03T01:11:00Z,SIEM,Microsoft Sentinel,New Registry Run Key Entry,Persistence,MEDIUM,61,HOST-4694,USR-170,10.238.144.199,10.159.167.23,Persistence,T1547.001,False,ANL-1004,CLOSED,P3,MISSING_EVIDENCE
ALT-000089,SOC-001,2026-01-03T15:49:00Z,SIEM,Splunk ES,Upload to Unapproved Cloud Storage,Exfiltration,MEDIUM,29,HOST-3423,USR-106,10.209.12.60,10.177.4.244,Exfiltration,T1567,False,ANL-1004,CLOSED,P3,CORRECT_HANDLING
ALT-000090,SOC-001,2026-01-03T14:47:00Z,SIEM,Splunk ES,Encoded PowerShell Command,Execution,HIGH,91,HOST-2525,USR-939,10.201.38.152,10.31.222.170,Execution,T1059.001,True,ANL-1002,CLOSED,P2,NORMAL
ALT-000091,SOC-001,2026-01-03T10:26:00Z,SIEM,Splunk ES,Unusual Scheduled Task Created,Persistence,LOW,67,HOST-2908,USR-415,10.237.135.219,10.61.46.41,Persistence,T1053.005,True,ANL-1002,CLOSED,P4,CORRECT_HANDLING
ALT-000092,SOC-001,2026-01-03T14:35:00Z,SIEM,Elastic Security,Large Outbound Data Transfer,Exfiltration,CRITICAL,23,HOST-4500,USR-923,10.71.62.4,10.31.113.34,Exfiltration,T1041,True,ANL-1009,CLOSED,P1,NORMAL
ALT-000093,SOC-001,2026-01-03T21:27:00Z,SIEM,Splunk ES,LSASS Memory Access,Credential Access,MEDIUM,45,HOST-2567,USR-386,10.228.76.9,10.125.151.128,Credential Access,T1003,True,ANL-1003,CLOSED,P3,NORMAL
ALT-000094,SOC-001,2026-01-03T15:22:00Z,SIEM,Elastic Security,Suspicious CMD Execution,Execution,MEDIUM,44,HOST-4200,USR-284,10.13.163.153,10.112.15.230,Execution,T1059.003,True,ANL-1010,CLOSED,P3,NORMAL
ALT-000095,SOC-001,2026-01-03T05:11:00Z,SIEM,IBM QRadar,Encoded PowerShell Command,Execution,LOW,85,HOST-4437,USR-128,10.180.72.145,10.96.252.139,Execution,T1059.001,True,ANL-1004,CLOSED,P4,CORRECT_HANDLING
ALT-000096,SOC-001,2026-01-03T10:03:00Z,SIEM,Splunk ES,Beaconing to Known C2 Domain,Command and Control,LOW,24,HOST-1726,USR-966,10.186.37.96,10.202.51.87,Command and Control,T1071.001,True,ANL-1001,CLOSED,P4,SLOW_TRIAGE
ALT-000097,SOC-001,2026-01-03T00:44:00Z,SIEM,Microsoft Sentinel,Internal Network Port Scan,Reconnaissance,LOW,33,HOST-3985,USR-716,10.162.113.164,10.53.254.37,Reconnaissance,T1595,True,ANL-1010,CLOSED,P4,CORRECT_HANDLING
ALT-000098,SOC-001,2026-01-03T00:03:00Z,SIEM,Elastic Security,New Registry Run Key Entry,Persistence,HIGH,31,HOST-3950,USR-523,10.252.193.90,10.192.51.213,Persistence,T1547.001,True,ANL-1007,CLOSED,P2,NORMAL
ALT-000099,SOC-001,2026-01-03T02:21:00Z,SIEM,Elastic Security,LSASS Memory Access,Credential Access,HIGH,13,HOST-3240,USR-541,10.84.222.41,10.27.51.85,Credential Access,T1003,False,ANL-1010,CLOSED,P2,CORRECT_HANDLING
ALT-000100,SOC-001,2026-01-03T09:52:00Z,SIEM,Elastic Security,Password Spraying Detected,Credential Access,LOW,35,HOST-1358,USR-199,10.13.105.44,10.149.41.122,Credential Access,T1110,True,ANL-1011,CLOSED,P4,NORMAL
ALT-000101,SOC-001,2026-01-03T08:14:00Z,SIEM,Splunk ES,LSASS Memory Access,Credential Access,LOW,99,HOST-2904,USR-783,10.49.43.172,10.176.211.249,Credential Access,T1003,True,ANL-1005,CLOSED,P4,CORRECT_HANDLING
ALT-000102,SOC-001,2026-01-03T05:10:00Z,SIEM,Splunk ES,Suspicious PowerShell,Execution,CRITICAL,15,HOST-2839,USR-533,10.40.222.52,10.75.132.82,Execution,T1059.001,False,ANL-1004,CLOSED,P1,CORRECT_HANDLING
